CONGLOME,VIVIENDA,HOGAR,UBIGEO,P101,P102,P1172.02,P207,P208A,P301A,MIEPERHO,Pobre_energético,ESTRATO,ingreso_pc_mensual,inseguridad_alimentaria,sexo_mujer,educacion_basica_completa,material_pared,estrato3,ingreso_pc_z,gasto_elec_z
18621,5,11,160101,1,1,43,1,53,7,6,1,2,482.71001519097223,1,0,1,Duradero,Urbano,-0.43775670550444434,0.02707310483381189
18621,46,11,160101,1,1,21,2,71,6,3,1,2,1243.4449869791667,1,1,1,Duradero,Urbano,0.30839509868363435,-0.3666193505753843
18626,10,11,160101,1,1,40,1,59,9,1,1,2,5326.997721354167,1,0,1,Duradero,Urbano,4.313666781000097,-0.026612229994714857
18626,101,11,160101,1,1,234,1,51,10,4,0,2,2965.3645833333335,1,0,1,Duradero,Urbano,1.9973057720898655,3.445039422250015
18628,36,11,160101,1,1,44,2,59,10,2,0,2,2723.087890625,0,1,1,Duradero,Urbano,1.7596734847873492,0.04496821644332081
18628,70,11,160101,1,1,112,1,58,11,2,0,2,2375.77880859375,1,0,1,Duradero,Urbano,1.4190222622474258,1.2618358058899273
18628,102,11,160101,1,1,158,1,37,9,4,0,2,1191.24365234375,1,0,1,Duradero,Urbano,0.2571944552746885,2.0850109399273373
18628,137,11,160101,1,1,120,1,32,11,3,0,2,1670.427951388889,0,0,1,Duradero,Urbano,0.7271928680342356,1.4049966987659985
18628,172,11,160101,1,1,147,1,62,11,2,0,2,5940.434244791667,0,0,1,Duradero,Urbano,4.915343824506902,1.8881647122227392
18634,29,11,160101,1,1,292,2,76,10,6,1,2,1794.745876736111,0,1,1,Duradero,Urbano,0.8491276386583672,4.482955895601532
18634,44,11,160101,1,1,119,1,75,8,6,1,2,879.0254448784722,1,0,1,Duradero,Urbano,-0.04903857914593329,1.3871015871564896
18634,91,11,160101,1,1,37,1,79,10,1,0,2,3556.4599609375,0,0,1,Duradero,Urbano,2.577069945951692,-0.08029756482324162
18636,118,11,160101,1,1,160,1,32,10,3,0,2,2869.534288194445,0,0,1,Duradero,Urbano,1.9033125283644197,2.1208011631463553
18641,8,11,160101,1,1,159,1,62,6,2,1,2,2241.0367838541665,0,0,1,Duradero,Urbano,1.2868632205471753,2.1029060515368463
18641,19,11,160101,1,1,21,2,62,9,3,0,2,3995.7096354166665,0,1,1,Duradero,Urbano,3.007899274503855,-0.3666193505753843
18641,42,11,160101,1,1,318,1,78,9,2,0,2,2338.7467447916665,0,0,1,Duradero,Urbano,1.3827000971788455,4.948228797448764
18641,65,11,160101,1,9,33,2,72,10,4,0,2,1177.279052734375,1,1,1,Precario,Urbano,0.24349755480381022,-0.15187801126127728
18641,110,11,160101,1,1,318,2,78,9,4,0,2,842.1122233072916,0,1,1,Duradero,Urbano,-0.08524418017014809,4.948228797448764
18642,10,11,160101,1,1,66,2,54,8,3,0,2,908.9374457465278,0,1,1,Duradero,Urbano,-0.0196999865450016,0.438660671852517
18642,50,11,160101,1,1,50,1,44,8,7,1,2,685.8510044642857,1,0,1,Duradero,Urbano,-0.238509896468517,0.15233888610037433
18642,64,11,160101,1,1,97,1,54,8,6,1,2,1977.872829861111,1,0,1,Duradero,Urbano,1.028744077414292,0.9934091317472934
18642,132,11,160101,1,1,9,1,82,8,1,0,2,1255.591796875,1,0,1,Duradero,Urbano,0.3203090561787146,-0.5813606898894913
18649,3,11,160101,1,1,67,1,68,8,5,0,2,867.7171875,0,0,1,Duradero,Urbano,-0.06013005904114098,0.4565557834620259
18649,28,11,160101,1,1,85,2,54,11,2,0,2,4387.033203125,0,1,1,Duradero,Urbano,3.3917212320780417,0.7786677924331864
18649,40,11,160101,1,1,91,1,42,6,5,1,2,643.1747395833333,1,0,1,Duradero,Urbano,-0.2803680641850351,0.88603846209024
18649,53,11,160101,1,1,68,1,36,9,4,1,2,1109.4893391927083,1,0,1,Duradero,Urbano,0.17700735921623223,0.4744508950715348
18649,68,12,160101,1,1,194,2,38,9,5,1,2,441.9521484375,0,1,1,Duradero,Urbano,-0.4777332504784118,2.729234957869658
18649,81,11,160101,1,1,45,2,46,8,2,1,2,1374.6505533854167,1,1,1,Duradero,Urbano,0.43708547539054293,0.06286332805282972
18649,93,11,160101,1,1,195,2,37,11,3,1,2,2231.5052083333335,1,1,1,Duradero,Urbano,1.2775143638028785,2.747130069479167
18649,117,11,160101,1,1,195,1,76,10,5,0,2,1144.4981770833333,0,0,1,Duradero,Urbano,0.21134508329011742,2.747130069479167
18650,17,11,160101,1,1,0,2,42,9,3,0,2,2929.2779947916665,1,1,1,Duradero,Urbano,1.961910957672349,-0.7424166943750715
18650,38,11,160101,1,1,75,2,42,8,2,0,2,1850.7032877604167,1,1,1,Duradero,Urbano,0.9040123550732508,0.5997166763380972
18650,49,11,160101,1,1,250,1,63,11,3,0,2,2339.9752604166665,0,0,1,Duradero,Urbano,1.3839050623560245,3.731361208002158
18650,74,11,160101,1,1,83,2,57,7,3,0,2,2887.358506944445,1,1,1,Duradero,Urbano,1.9207950596950003,0.7428775692141686
18650,83,11,160101,1,1,88,2,85,6,3,1,2,1610.6481119791667,1,1,1,Duradero,Urbano,0.6685589985740358,0.8323531272617132
18650,106,11,160101,1,1,0,2,70,7,1,0,2,1278.497802734375,0,1,1,Duradero,Urbano,0.34277595757348045,-0.7424166943750715
18650,114,11,160101,1,1,179,1,63,10,5,0,2,1388.0598958333335,0,0,1,Duradero,Urbano,0.4502377628908402,2.4608082837270246
18651,7,11,160101,1,1,177,2,54,9,6,0,2,1025.8543836805554,1,1,1,Duradero,Urbano,0.09497567240959849,2.4250180605080067
18651,38,11,160101,1,1,0,1,66,9,1,1,2,1345.6573893229167,1,0,1,Duradero,Urbano,0.4086481056407288,-0.7424166943750715
18651,87,12,160101,1,1,0,2,31,4,5,1,2,285.47141927083334,1,1,0,Duradero,Urbano,-0.6312142691226849,-0.7424166943750715
18651,87,22,160101,8,9,50,1,35,8,3,0,2,1556.6161024305557,1,0,1,Precario,Urbano,0.6155627739968533,0.15233888610037433
18651,130,11,160101,1,1,146,1,67,10,2,0,2,7069.26953125,0,0,1,Duradero,Urbano,6.022539519273201,1.8702696006132304
18597,82,11,160101,1,1,24,2,70,10,2,1,2,1252.6025390625,1,1,1,Duradero,Urbano,0.31737710195983954,-0.31293401574685753
18574,57,11,160101,1,1,273,2,65,10,3,0,2,2308.254123263889,0,1,1,Duradero,Urbano,1.35279201432327,4.142948775020863
18581,5,11,160101,1,1,0,2,44,9,2,0,2,841.69921875,1,1,1,Duradero,Urbano,-0.08564926749620683,-0.7424166943750715
18583,28,11,160101,1,1,48,1,35,10,1,0,2,7976.467447916667,1,0,1,Duradero,Urbano,6.912346597138114,0.11654866288135649
18583,69,11,160101,1,1,421,1,38,8,7,1,2,1423.9842819940477,1,0,1,Duradero,Urbano,0.48547348432107473,6.7914252932281824
18583,84,11,160101,1,1,146,1,62,10,5,1,2,1496.6223958333335,0,0,1,Duradero,Urbano,0.5567191371488934,1.8702696006132304
18585,13,11,160101,1,1,38,2,63,6,1,1,2,428.923583984375,1,1,1,Duradero,Urbano,-0.49051205943710724,-0.062402453213732695
18599,128,11,160101,1,1,10,1,31,9,3,0,2,1392.604275173611,1,0,1,Duradero,Urbano,0.45469502720681176,-0.5634655782799823
